Question Rank,Movie ID,Movie Title,Distribution,Hype,Recency,Audience,Sentiment,Style,Drama,Thrill,Release,Action
28,29,Indiana Jones and the Kingdom of the Crystal Skull,0.597,-0.664,-1.446,0.541,-0.478,-1.545,-0.488,-2.780,0.228,-1.827
29,30,The Lord of the Rings: The Fellowship of the Ring,-3.333,-2.383,-2.141,-1.669,-1.086,-1.243,-1.818,-2.103,-2.878,-1.600
30,31,The Lion King,-2.373,-0.468,-2.297,-2.502,-1.976,0.389,-2.045,-0.444,-0.755,-3.420
31,32,Iron Man 2,-2.072,-1.376,-0.268,-0.519,-2.127,-1.057,-1.098,-2.228,-0.799,-3.166
32,33,Pirates of the Caribbean: At Worlds End,-2.110,-0.469,-2.548,-1.118,-3.094,-1.017,-0.556,-3.353,-1.703,0.143
33,34,Independence Day,0.227,-1.371,-1.143,-1.797,-1.481,-2.430,-2.098,-2.749,-2.250,-2.238
34,35,Pirates of the Caribbean: The Curse of the Black Pearl,-0.945,-1.137,-1.461,-1.921,-1.098,-0.798,-1.773,-3.111,-2.818,-1.701
35,36,Star Wars: Episode II - Attack of the Clones,-0.545,-1.812,-1.666,0.180,-1.198,-2.481,-0.446,0.396,-0.608,-1.972
36,37,Harry Potter and the Half-Blood Prince,-1.815,-1.887,0.209,-0.391,-3.300,-1.846,0.037,-2.913,-2.222,-2.538
37,38,The Twilight Saga: Eclipse,-2.968,-2.335,-0.094,-1.660,-1.173,-1.701,-1.982,0.212,1.100,-0.458
38,39,The Twilight Saga: New Moon,-1.063,-1.457,-0.896,-1.759,-1.909,-1.978,-0.659,-1.597,-2.677,-1.262
39,40,Harry Potter and the Deathly Hallows Part 1,-1.642,-0.729,-1.821,-2.551,-1.139,-1.392,-1.414,0.361,-0.116,-1.518
40,41,The Sixth Sense,-1.489,-2.056,-1.778,-1.424,0.058,0.437,-0.612,-1.361,-0.385,0.678
41,42,Up,-0.832,-1.605,-0.613,-0.762,-2.569,-0.209,-0.077,-0.247,-0.983,-1.013
42,43,Inception,-2.036,-2.124,-1.895,-0.785,-0.592,-0.716,-0.750,-1.150,-1.422,-2.127
43,44,Harry Potter and the Order of the Phoenix,-0.327,0.002,-2.151,-1.461,-3.481,-2.034,1.052,-0.549,-1.045,-2.210
44,45,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.116,-0.506,-0.123,-0.416,-1.762,-0.445,-1.907,-0.197,-2.070,-2.604
45,46,Harry Potter and the Goblet of Fire,-1.373,-0.276,-1.328,0.727,1.027,-1.230,0.572,-0.798,0.161,-0.925
46,47,Home Alone,0.201,-1.596,0.723,1.637,-1.768,0.156,-1.487,-0.929,-0.308,-1.652
47,48,The Matrix Reloaded,-1.977,-1.942,-1.962,-1.339,-1.193,0.203,-0.467,-1.836,-0.377,0.223
48,49,The Twilight Saga: Breaking Dawn Part 1,0.577,-0.443,-1.048,0.515,-1.406,1.061,-1.175,0.921,-0.929,-0.705
49,50,Meet the Fockers,-2.006,0.316,-0.665,-1.488,-0.386,-2.430,0.266,-1.308,0.344,-0.766
50,51,The Hangover,-0.385,0.519,0.640,-1.265,-1.798,-1.183,-2.896,-1.120,-0.999,-0.961
51,52,Shrek,-1.365,0.688,-0.132,0.586,-0.900,-1.859,-1.269,-1.160,-0.584,-0.297
52,53,The Amazing Spider-Man,-1.247,-0.101,1.073,-1.634,-1.941,-0.343,-0.757,-1.766,-2.017,-0.341
53,54,Harry Potter and the Chamber of Secrets,0.328,1.896,0.554,-1.022,-0.197,0.110,-0.263,-1.173,0.257,-1.235
54,55,The Incredibles,-0.481,-0.565,-0.683,-1.034,0.411,2.445,-0.822,1.456,-1.499,-1.180
55,56,How the Grinch Stole Christmas,0.395,0.696,2.054,-1.180,-0.187,-0.811,0.458,-1.388,1.507,-1.105
56,57,Jaws,-0.452,0.948,1.070,0.554,-0.465,-1.622,0.236,-0.172,0.539,1.908
57,58,Star Trek,0.706,0.413,-0.269,-0.464,-1.042,0.371,-1.014,-0.689,0.241,0.614
58,59,I Am Legend,-0.731,-0.088,0.010,-0.014,0.835,-2.044,-1.129,0.621,-0.848,-1.061
59,60,The Blind Side,0.779,0.904,-0.148,-1.561,0.117,0.698,-1.162,-1.913,-1.662,0.950
60,61,"Monsters, Inc.",0.781,-0.111,2.441,-0.402,0.659,-0.151,-0.775,-0.693,0.166,-0.391
61,62,The Hangover Part II,-1.620,-0.998,0.911,0.206,0.673,-0.939,-0.284,-1.826,0.005,0.087
62,63,Return of the Jedi,0.569,2.662,1.027,0.697,1.500,1.235,-0.260,-0.476,-0.149,-0.285
63,64,Despicable Me,1.464,-0.315,0.286,-0.680,0.171,1.473,-0.521,0.739,0.128,-0.741
64,65,Batman,-0.894,0.146,0.316,-0.547,0.168,-0.141,0.185,-0.100,-0.685,1.028
65,66,Night at the Museum,-0.066,1.410,-0.690,0.672,1.165,1.779,0.856,0.720,0.341,-0.358
66,67,Men in Black,0.460,0.386,0.602,-0.538,0.819,-1.693,0.055,0.616,0.719,-0.198
67,68,Harry Potter and the Prisoner of Azkaban,-1.338,1.030,0.506,2.283,1.252,1.728,1.423,1.953,1.266,1.204
68,69,Toy Story 2,0.899,1.121,-0.492,0.743,1.625,1.092,-1.351,1.376,-0.888,-0.310
69,70,Cars,4.273,0.118,-0.388,0.416,1.525,0.023,-0.112,-0.053,-1.244,0.516
70,71,Bruce Almighty,0.765,0.483,1.399,-0.252,-0.502,0.350,0.919,0.200,2.184,1.459
71,72,Twister,0.241,0.046,0.303,0.390,1.373,0.984,0.922,0.744,1.572,1.377
72,73,My Big Fat Greek Wedding,0.568,2.741,0.441,-0.652,0.289,-1.353,0.282,-0.851,1.294,0.733
73,74,Pirates of the Caribbean: On Stranger Tides,1.889,1.136,-0.206,-0.162,0.657,0.674,1.837,1.378,-0.084,0.243
74,75,Shrek Forever After,0.285,0.333,1.324,2.431,2.430,-0.538,0.832,0.367,1.227,0.647
75,76,X-Men: The Last Stand,1.037,0.536,0.562,2.299,1.518,0.011,-0.511,0.720,0.289,-0.301
76,77,War of the Worlds,0.760,0.843,1.251,0.519,0.082,0.713,-0.460,0.304,1.011,-0.112
77,78,Cast Away,0.696,0.427,2.150,0.700,1.547,1.436,1.995,-0.364,0.784,0.025
78,79,Ghostbusters,2.138,1.007,0.699,1.610,1.039,0.542,1.184,1.492,0.076,1.590
79,80,The Lost World: Jurassic Park,-0.277,2.325,-0.330,1.489,0.942,1.941,1.786,0.819,1.392,0.684
80,81,Signs,0.783,0.778,3.341,-0.193,1.263,0.280,0.518,0.691,0.195,0.832
81,82,Hancock,0.969,1.889,0.155,1.658,0.846,2.561,0.430,1.880,0.678,1.687
82,83,The Bourne Ultimatum,-0.153,2.000,0.457,1.592,2.271,1.028,1.111,0.137,2.133,1.157
83,84,Rush Hour 2,0.422,0.796,2.529,-0.194,2.210,1.686,2.196,2.684,1.677,0.177
84,85,WALL-E,0.650,2.030,1.521,1.388,3.360,0.502,0.470,0.193,-0.069,0.667
85,86,National Treasure: Book of Secrets,1.242,2.757,2.140,3.921,1.018,3.789,1.303,1.776,1.225,-0.576
86,87,Alvin and the Chipmunks: The Squeakquel,2.495,1.843,2.154,1.518,2.596,0.938,2.509,2.000,1.502,2.325
87,88,Mrs. Doubtfire,0.950,1.768,0.897,1.429,3.044,1.222,2.173,1.670,2.749,2.315
88,89,King Kong,1.296,1.822,1.109,1.457,3.903,0.562,1.710,2.435,2.341,1.234
89,90,Ghost,2.535,2.244,2.021,2.750,-0.174,0.699,1.176,3.139,0.647,0.306
90,91,How to Train Your Dragon,3.058,2.123,1.683,2.053,1.653,3.351,2.035,1.863,3.784,-0.323
91,92,The Da Vinci Code,1.437,1.504,1.461,1.760,3.110,2.716,1.232,2.178,2.272,3.004
92,93,Alvin and the Chipmunks,2.729,3.915,2.571,2.695,2.715,0.190,2.227,0.699,3.498,2.897
93,94,Saving Private Ryan,3.118,2.265,0.426,2.799,2.772,2.408,1.291,2.701,1.141,3.242
94,95,Madagascar 3: Europes Most Wanted,2.720,0.535,1.932,2.440,1.248,1.473,0.947,0.488,1.377,2.227
95,96,Kung Fu Panda,2.280,1.394,1.485,3.162,2.280,2.579,3.162,2.372,3.122,2.685
96,97,Mission: Impossible II,1.345,2.160,1.764,1.273,1.611,3.488,2.707,2.387,3.364,2.125
97,98,X2: X-Men United,3.357,1.477,3.478,3.087,1.653,1.431,2.399,3.177,3.952,2.797
98,99,Austin Powers in Goldmember,0.792,3.084,2.285,3.660,3.271,2.601,2.378,1.681,3.775,2.499
99,100,Raiders of the Lost Ark,1.105,1.484,3.085,2.943,4.177,3.005,2.918,0.457,2.104,2.442
100,101,300,1.143,2.558,2.916,4.325,2.292,2.973,2.224,2.883,2.806,2.146
101,102,Back to the Future,3.451,4.373,2.580,3.132,2.249,2.412,2.027,1.994,2.336,2.054
102,103,Fast Five,2.649,3.292,2.291,2.555,4.054,4.838,4.128,3.867,3.111,3.134
103,104,The Empire Strikes Back,3.044,2.798,1.802,2.747,3.330,3.968,2.718,3.352,3.320,2.252
104,105,Mission: Impossible - Ghost Protocol,1.848,3.169,2.085,3.273,3.616,1.295,2.766,2.121,2.329,2.352
105,106,Wedding Crashers,3.456,2.638,2.567,3.017,2.889,2.549,1.030,3.286,1.588,2.054
106,107,Sherlock Holmes,1.189,3.507,2.025,2.950,3.620,4.207,2.824,2.156,2.833,2.134
107,108,Charlie and the Chocolate Factory,4.421,3.514,3.250,3.451,3.780,4.279,3.440,3.005,2.567,4.187
108,109,Ratatouille,3.182,2.884,2.738,5.319,2.194,1.477,2.136,3.403,2.950,2.740
109,110,Austin Powers: The Spy Who Shagged Me,2.567,2.582,3.668,2.217,2.502,2.681,5.181,3.397,3.337,3.150
110,111,Batman Begins,2.841,3.337,3.327,4.022,3.364,2.850,5.866,3.141,2.908,2.910
111,112,Terminator 2: Judgment Day,3.268,3.672,5.177,1.640,3.321,3.006,2.998,4.090,2.259,3.683
112,113,The Mummy Returns,3.253,2.861,1.990,3.224,1.843,2.877,1.557,1.550,3.782,2.094
113,114,Armageddon,2.766,3.315,4.313,3.491,4.635,2.050,2.517,4.902,3.286,2.835
114,115,Tangled,2.619,4.388,3.899,2.459,4.144,3.955,3.620,0.720,2.610,1.731
115,116,Superman Returns,3.634,2.545,3.165,4.001,2.203,3.487,4.299,4.172,5.056,3.852
116,117,Pearl Harbor,4.091,3.404,3.144,3.126,3.133,3.334,3.436,3.966,3.196,2.476
117,118,Monsters Vs. Aliens,3.526,3.120,4.386,3.270,4.142,3.176,3.757,2.148,3.522,2.526
118,119,Happy Feet,-3.412,-1.489,-3.936,-1.494,-2.507,-0.236,-1.673,-3.183,-0.487,-1.558
119,120,Indiana Jones and the Last Crusade,2.128,-1.367,-1.131,-0.422,-0.756,-0.131,0.406,-1.863,-0.677,1.204
120,121,Ice Age: Dawn of the Dinosaurs,0.070,-0.972,-1.671,0.394,0.060,-0.135,1.767,1.192,-3.222,0.651
121,122,Ice Age: The Meltdown,-0.329,-1.413,-3.007,-0.504,-0.471,-0.713,0.828,0.526,-0.211,0.028
122,123,Madagascar,-0.755,0.389,0.893,-0.850,-1.344,-1.623,0.470,-1.369,2.076,-0.367
123,124,The Exorcist,1.086,0.757,0.419,-0.332,1.074,-0.969,0.492,1.221,-1.349,-0.289
124,125,Twilight,-2.514,0.524,-1.147,1.588,-0.211,1.072,-0.132,0.418,2.481,0.816
125,126,Toy Story,1.133,-0.115,-4.085,-1.578,0.655,2.251,-0.602,-4.130,1.311,0.310
126,127,Cars 2,0.246,-0.611,0.673,-0.867,-0.315,1.210,-2.170,-4.036,0.978,1.188
127,128,Men in Black II,-0.332,-1.035,0.591,-0.780,-0.231,0.868,1.175,-1.487,-0.866,-0.629
128,129,Gone with the Wind,-1.020,1.055,0.272,-2.068,-0.605,-2.542,-0.255,-0.033,-0.195,0.562
129,130,Gladiator,0.341,2.636,0.345,0.506,-0.640,-2.513,-4.098,-0.613,1.750,1.713
130,131,Sherlock Holmes: A Game of Shadows,-0.594,0.909,0.582,0.893,1.144,-1.791,2.298,-1.295,-1.154,-0.237
131,132,The Day After Tomorrow,2.215,-0.161,0.556,-2.390,0.125,2.469,-0.767,-0.915,-0.683,0.537
132,133,Mr. & Mrs. Smith,-2.734,-2.600,-0.482,2.509,1.109,-1.635,2.800,0.703,0.088,-3.052
133,134,Dances with Wolves,-0.981,0.500,-0.761,-2.907,0.615,-0.342,0.766,0.413,1.094,0.096
134,135,Batman Forever,1.272,-0.599,0.142,-2.516,0.997,-0.241,0.852,-0.389,-1.706,0.108
135,136,The Fugitive,-1.651,1.145,2.359,-0.630,1.656,1.751,0.837,-1.695,0.508,0.141
136,137,The Simpsons Movie,-2.102,-1.837,1.880,-2.790,-0.992,-2.251,-2.112,-0.664,-4.465,2.252
137,138,What Women Want,-1.459,-2.017,-2.767,-0.936,-0.023,-0.306,-2.802,-1.319,2.669,-2.661
138,139,The Perfect Storm,-1.566,2.064,0.507,0.802,-0.355,1.607,-1.315,0.984,0.210,1.845
139,140,Liar Liar,-1.163,1.995,-2.669,-1.115,1.523,1.346,0.949,-1.036,-1.461,0.717
140,141,Jurassic Park III,-3.236,0.840,-1.921,-0.998,-0.302,-1.505,1.571,0.157,0.447,2.436
141,142,Thor,0.448,0.990,-0.262,-1.633,-0.169,1.561,-0.629,0.753,0.132,-0.232
142,143,Mission: Impossible,2.191,1.181,-0.043,-1.796,0.770,0.266,0.456,0.818,0.383,-0.743
143,144,Planet of the Apes,-1.016,-1.061,1.586,0.732,1.099,-0.195,-1.705,0.914,-3.040,3.218
144,145,Madagascar: Escape 2 Africa,-0.572,-0.471,0.339,-2.360,-0.108,0.804,-1.966,0.601,0.929,-0.286
145,146,X-Men Origins: Wolverine,-1.936,-2.826,-1.267,-1.430,0.162,0.468,-0.283,-1.213,-0.179,1.062
146,147,Indiana Jones and the Temple of Doom,-0.842,-0.193,-1.519,-2.390,0.411,-0.136,0.385,1.295,1.435,1.109
147,148,Hitch,0.367,0.317,-0.334,1.260,-1.493,-0.371,3.349,-2.398,0.834,0.026
148,149,MIB 3,-0.439,0.766,2.867,-1.022,-0.983,-0.228,0.569,0.021,-0.305,-1.476
149,150,Pretty Woman,0.467,-1.586,0.902,-2.953,-0.513,-2.151,0.835,0.403,0.466,0.892
150,151,Night at the Museum: Battle of the Smithsonian,-1.456,1.323,1.429,-0.184,1.400,-1.652,-1.611,-1.928,1.638,-2.245
151,152,Rise of the Planet of the Apes,-0.212,0.402,1.395,-0.114,-0.313,-0.005,-2.287,-1.410,-4.295,-3.207
152,153,Captain America: The First Avenger,0.065,-1.271,1.738,0.528,0.087,-1.360,0.324,1.359,-2.088,0.773
153,154,The Karate Kid,-1.971,-1.774,-0.974,0.650,2.494,0.067,1.055,-3.664,1.169,-2.529
154,155,Ice Age,0.329,0.496,0.620,-1.321,2.132,-1.435,3.519,2.424,-0.074,-0.470
155,156,The Bourne Supremacy,1.330,0.581,2.681,3.848,0.105,1.926,0.093,-2.911,2.195,-1.070
156,157,Home Alone 2: Lost in New York,4.004,2.615,0.027,-0.774,2.162,-1.866,-1.306,2.706,1.828,1.532
157,158,Elf,1.594,0.509,-2.024,-0.213,1.005,1.365,0.384,-2.354,-1.110,2.344
158,159,National Treasure,0.499,0.655,1.668,-0.420,1.175,1.847,-0.647,0.140,-1.927,-0.429
159,160,Air Force One,0.775,0.772,1.060,0.516,-0.696,-0.025,-1.341,0.600,1.217,-2.661
160,161,Rain Man,-2.177,-0.821,-1.696,1.861,-1.603,0.381,-1.775,-1.073,2.742,0.180
161,162,Apollo 13,2.271,0.696,1.870,0.039,-0.857,0.895,1.956,-2.633,2.131,0.678
162,163,Tron Legacy,0.883,0.068,-0.491,-2.662,-1.829,0.205,-1.138,1.234,-1.904,0.015
163,164,The Matrix,-0.095,-2.947,1.393,-1.356,-1.281,-0.311,-1.525,0.360,1.243,1.252
164,165,True Grit,0.979,-1.492,-2.078,1.782,0.719,-3.079,-0.924,0.086,0.162,0.996
165,166,Tarzan,-0.611,-3.604,0.165,-0.256,1.918,0.393,1.776,-2.212,0.924,-4.033
166,167,A Beautiful Mind,-1.745,0.260,0.613,-0.493,1.507,-1.297,-0.985,-0.844,1.117,-2.562
167,168,Chicago,-1.652,2.685,1.742,1.714,0.839,2.094,0.945,1.000,1.580,-1.445
168,169,The Help,-0.214,-1.220,3.499,-2.147,0.900,1.052,-1.520,1.864,3.285,0.800
169,170,Bridesmaids,0.720,0.435,2.404,2.376,0.866,-3.006,-1.652,-1.086,-0.271,-2.877
170,171,Quantum of Solace,3.934,0.266,-1.866,0.091,-0.537,-0.326,-1.591,0.003,0.766,-0.380
171,172,Wild Hogs,0.413,-0.083,1.198,1.391,0.555,2.584,-0.249,-0.801,-2.157,-0.665
172,173,Casino Royale,0.035,2.306,-2.326,-0.470,1.849,1.291,0.757,1.250,-3.249,1.581
173,174,Meet the Parents,0.306,-2.117,-0.017,1.304,2.062,0.484,0.404,-1.021,0.940,1.939
174,175,Robin Hood: Prince of Thieves,-1.473,0.066,0.460,0.482,2.515,2.939,2.915,2.907,0.808,-1.531
175,176,Kung Fu Panda 2,-0.586,0.658,-0.832,0.720,-0.403,-0.684,1.334,0.695,3.587,1.300
176,177,Hannibal,-0.138,-1.613,-0.994,-2.490,-1.580,-0.648,1.017,0.563,-3.778,1.762
177,178,Catch Me If You Can,0.865,0.892,2.717,-0.360,-3.717,-0.015,-1.888,2.334,-0.415,-1.736
178,179,The Proposal,0.639,3.191,1.692,0.415,0.337,0.345,2.428,-0.298,1.669,-1.996
179,180,The Pursuit of Happyness,-0.049,-0.429,0.558,-1.544,-0.074,2.196,-1.633,1.556,1.240,1.925
180,181,Big Daddy,0.377,1.472,2.179,-1.076,-0.073,0.942,-1.292,1.003,0.270,-1.588
181,182,Clash of the Titans,2.957,1.140,1.267,2.078,0.790,-2.414,2.055,2.142,-1.909,1.741
182,183,Batman Returns,0.813,0.642,0.404,0.595,0.497,1.807,2.031,1.817,-0.513,1.204
183,184,A Bugs Life,-0.379,-0.222,-4.049,-0.833,1.090,1.818,1.152,-0.257,1.842,0.681
184,185,The Polar Express,2.002,2.179,1.975,-2.550,0.712,-0.340,1.181,-0.630,1.383,-0.194
185,186,Grown Ups,1.314,1.525,-1.489,0.382,-0.264,3.269,1.049,1.188,1.153,0.787
186,187,The Waterboy,3.113,-2.907,-0.820,0.374,1.439,0.330,2.485,1.425,1.148,0.878
187,188,Die Another Day,1.385,-3.214,-0.255,0.778,0.694,1.419,1.320,1.590,0.581,-0.082
188,189,Shark Tale,0.032,-2.326,1.940,0.914,0.961,1.206,2.844,1.681,-1.940,1.442
189,190,Grease,1.645,-2.216,-0.204,-1.032,0.690,0.989,1.207,1.922,-0.877,0.864
190,191,The Firm,0.087,3.279,0.638,2.146,2.070,0.331,1.825,0.636,-0.545,-0.295
191,192,The Longest Yard,1.105,-1.480,2.005,1.744,2.191,-0.142,0.941,1.140,2.107,-2.460
192,193,X-Men,-0.698,-0.506,1.585,1.035,2.219,3.631,3.919,1.364,0.700,2.061
193,194,Scary Movie,1.095,1.666,1.267,2.146,-2.496,-0.070,1.536,1.420,-0.421,1.974
194,195,Fatal Attraction,1.080,-2.278,1.564,-1.194,2.672,-0.702,-1.053,1.123,-1.104,-1.097
195,196,Who Framed Roger Rabbit,1.894,1.479,0.103,-3.372,0.827,-1.161,0.066,-1.277,0.334,2.431
196,197,What Lies Beneath,0.980,-1.342,-2.135,1.095,3.103,0.457,-0.384,-1.369,1.857,1.622
197,198,The Mummy,1.889,1.868,0.947,-0.063,0.564,-0.037,1.253,2.385,0.152,-2.806
198,199,Snow White and the Huntsman,2.598,2.310,0.176,-0.263,-1.926,1.465,-3.484,-1.347,1.040,-1.979
199,200,Fast and Furious,0.994,0.893,2.058,-1.833,3.402,-2.722,-2.658,2.284,2.106,-1.090
200,201,Over the Hedge,0.159,-0.651,1.814,-0.989,1.143,1.927,3.317,-1.192,1.589,-0.700
201,202,Fantastic Four,-1.792,1.851,0.163,-1.889,-1.721,0.375,-0.891,1.616,-0.145,0.710
202,203,Dr. Seuss Horton Hears a Who!,3.434,0.399,2.614,-1.689,-0.605,-0.435,-1.874,3.002,1.983,1.241
203,204,Jerry Maguire,1.726,2.983,0.553,-2.992,1.088,1.362,1.680,-1.336,-2.321,0.324
204,205,Scooby-Doo,0.970,2.080,0.605,-0.499,1.821,2.966,-0.710,3.645,-2.357,0.868
205,206,Sex and the City,2.016,2.685,0.002,1.312,-0.409,-0.119,1.918,-1.565,-1.628,-0.768
206,207,Runaway Bride,1.612,-0.207,-3.355,0.290,-0.023,-2.303,1.961,2.119,-1.378,-0.726
207,208,Rambo: First Blood Part II,1.084,-2.147,-1.234,-2.862,-0.018,-0.690,0.276,1.880,0.574,1.550
208,209,Terminator 3: Rise of the Machines,1.762,-2.025,-3.265,-0.610,-0.438,-1.769,-0.823,2.066,1.457,-2.967
209,210,G.I. Joe: The Rise of Cobra,-1.179,-1.370,-1.022,1.349,0.407,1.060,2.554,1.220,-0.721,-1.600
210,211,Puss in Boots,1.075,1.148,-0.089,-1.925,-2.622,-3.581,1.116,-0.370,3.185,1.373
211,212,Knocked Up,-2.883,2.674,-1.320,-0.916,-0.306,-0.795,0.640,-1.376,1.039,0.326
212,213,As Good as It Gets,1.395,1.765,3.180,1.375,-1.739,0.050,-2.577,-0.476,-1.321,0.876
213,214,Little Fockers,-1.484,-2.569,1.770,-1.680,-1.425,0.041,-2.984,-1.499,1.999,1.384
214,215,Megamind,2.386,-0.577,0.346,1.869,1.421,-2.619,-2.175,0.481,-1.278,-2.452
215,216,Talladega Nights: The Ballad of Ricky Bobby,2.438,-3.060,0.222,0.499,1.600,0.436,-2.402,1.335,0.962,0.744
216,217,Gran Torino,1.999,-1.635,-0.255,-0.133,2.320,-2.290,-2.467,-6.211,1.442,3.138
217,218,Lethal Weapon 2,1.504,-2.559,1.152,-0.256,1.685,1.437,-0.199,-3.027,-1.285,-2.857
218,219,X-Men: First Class,-2.786,-0.952,-2.895,-1.220,-2.658,-1.598,-1.339,-0.874,-0.681,2.006
219,220,Paul Blart: Mall Cop,-2.763,1.602,1.611,-1.417,1.174,1.625,-1.912,-0.671,2.280,-2.273
220,221,True Lies,-2.158,-0.664,0.019,1.662,0.454,-1.187,1.174,0.920,1.745,-2.020
221,222,Lilo & Stitch,-0.073,1.555,0.225,-4.861,2.035,-2.934,-2.148,1.632,1.773,-3.175
222,223,American Pie 2,-0.562,-2.201,2.114,-0.251,0.587,0.697,-1.199,1.141,0.990,-0.805
223,224,Taken,3.716,1.691,-2.679,2.782,-0.790,-1.504,-0.301,-2.107,-2.033,-1.845
224,225,The Santa Clause,0.580,-0.816,-2.456,0.880,1.518,0.008,-1.770,1.312,1.839,-2.051
225,226,Lethal Weapon 3,-1.501,-1.783,-3.095,0.938,-0.635,-1.219,-0.306,1.225,-2.090,-1.243
226,227,The Fast and the Furious,1.719,0.188,2.753,-0.339,1.419,-1.274,-2.117,0.634,-1.509,-0.392
227,228,Mamma Mia!,1.914,1.679,-0.814,-1.345,-2.578,-2.345,-1.663,-2.750,1.253,-1.479
228,229,Rio,-0.233,-0.446,-1.187,1.167,0.553,1.278,2.098,2.582,0.637,1.533
229,230,Juno,-2.316,0.356,1.769,1.849,-1.116,1.625,-0.754,-1.737,-1.469,-1.312
230,231,Marley and Me,1.737,0.421,-2.042,1.962,-1.870,0.082,-1.464,-2.489,-1.988,-0.674
231,232,The Smurfs,-1.273,-0.604,-0.615,-2.055,0.811,0.827,3.036,-1.758,-1.808,-3.288
232,233,XXX,0.357,2.383,-2.480,1.440,-1.578,1.548,1.596,1.069,0.784,-3.706
233,234,The Chronicles of Narnia: Prince Caspian,-1.334,-0.943,1.241,-0.518,0.232,-2.725,0.100,-2.030,0.634,-3.143
234,235,Pocahontas,-2.256,-2.261,1.737,0.937,-0.393,-3.384,0.269,2.188,-0.110,-0.553
